Indicators,Year ,Month,Value
Single-Family Building Permits,2005,9,134.01
Single-Family Building Permits,2005,10,137.08
Single-Family Building Permits,2005,11,136.1
Single-Family Building Permits,2005,12,133.09
Single-Family Building Permits,2006,1,140.62
Single-Family Building Permits,2006,2,129.16
Single-Family Building Permits,2006,3,106.1
Single-Family Building Permits,2006,4,92.56
Single-Family Building Permits,2006,5,88.17
Single-Family Building Permits,2006,6,93.01
Single-Family Building Permits,2006,7,74.5
Single-Family Building Permits,2006,8,86.88
Single-Family Building Permits,2006,9,82.01
Single-Family Building Permits,2006,10,82.96
Single-Family Building Permits,2006,11,105.86
Single-Family Building Permits,2006,12,87.29
Single-Family Building Permits,2007,1,83.14
Single-Family Building Permits,2007,2,80.17
Single-Family Building Permits,2007,3,96.79
Single-Family Building Permits,2007,4,98.2
Single-Family Building Permits,2007,5,100
Single-Family Building Permits,2007,6,74.44
Single-Family Building Permits,2007,7,93.14
Single-Family Building Permits,2007,8,93.44
Single-Family Building Permits,2007,9,76.69
Single-Family Building Permits,2007,10,76.28
Single-Family Building Permits,2007,11,60.64
Single-Family Building Permits,2007,12,43.47
Single-Family Building Permits,2008,1,71.16
Single-Family Building Permits,2008,2,60.33
Single-Family Building Permits,2008,3,64.22
Single-Family Building Permits,2008,4,68.18
Single-Family Building Permits,2008,5,71.54
Single-Family Building Permits,2008,6,77.86
Single-Family Building Permits,2008,7,76.18
Single-Family Building Permits,2008,8,67.61
Single-Family Building Permits,2008,9,79.97
Single-Family Building Permits,2008,10,64.86
Single-Family Building Permits,2008,11,49.49
Single-Family Building Permits,2008,12,33.48
Single-Family Building Permits,2009,1,30.44
Single-Family Building Permits,2009,2,56.94
Single-Family Building Permits,2009,3,47.09
Single-Family Building Permits,2009,4,58.58
Single-Family Building Permits,2009,5,68.15
Single-Family Building Permits,2009,6,92.48
Single-Family Building Permits,2009,7,77.58
Single-Family Building Permits,2009,8,62.37
Single-Family Building Permits,2009,9,46.39
Single-Family Building Permits,2009,10,58.87
Single-Family Building Permits,2009,11,65.59
Single-Family Building Permits,2009,12,67.1
Single-Family Building Permits,2010,1,67.38
Single-Family Building Permits,2010,2,92.53
Single-Family Building Permits,2010,3,60.53
Single-Family Building Permits,2010,4,60.14
Single-Family Building Permits,2010,5,36.37
Single-Family Building Permits,2010,6,46.08
Single-Family Building Permits,2010,7,37.1
Single-Family Building Permits,2010,8,36.53
Single-Family Building Permits,2010,9,43.89
Single-Family Building Permits,2010,10,48.82
Single-Family Building Permits,2010,11,46.54
Single-Family Building Permits,2010,12,44.49
Single-Family Building Permits,2011,1,42.89
Single-Family Building Permits,2011,2,40.14
Single-Family Building Permits,2011,3,52.09
Single-Family Building Permits,2011,4,48.88
Single-Family Building Permits,2011,5,49.75
Single-Family Building Permits,2011,6,44.62
Single-Family Building Permits,2011,7,52.25
